wu,wr,wd,wl,au,ar,ad,al,aur,adr,aul,adl,dis,direction
508,484,92,116,0,0,1,0,,,,,78.587530817554,2
516,492,84,108,0,0,1,0,,,,,69.05070600652827,2
524,500,76,100,0,0,1,0,,,,,60.13318551349163,2
532,508,68,92,1,0,0,0,,,,,52.15361924162119,2
532,516,68,84,1,0,0,0,,,,,44.181444068749045,2
532,524,68,76,1,0,0,0,,,,,36.22154055254967,2
532,532,68,68,1,0,0,0,,,,,412.0194170181789,0
524,524,76,76,1,0,0,0,,,,,400.8391198473522,0
516,516,84,84,1,0,0,0,,,,,389.6665240946417,0
508,508,92,92,1,0,0,0,,,,,378.50231174987556,0
500,500,100,100,1,0,0,0,,,,,367.3472471654034,0
492,492,108,108,1,0,0,0,,,,,356.20218977429096,0
484,484,116,116,1,0,0,0,,,,,345.0681092190352,0
476,476,124,124,1,0,0,0,,,,,333.94610343586885,0
468,468,132,132,1,0,0,0,,,,,322.8374203836972,0
460,460,140,140,1,0,0,0,,,,,311.7434842943794,0
452,452,148,148,1,0,0,0,,,,,300.66592756745814,0
444,444,156,156,1,0,0,0,,,,,289.60662975836726,0
436,436,164,164,1,0,0,0,,,,,278.5677655436824,0
428,428,172,172,1,0,0,0,,,,,267.5518641310503,0
420,420,180,180,1,0,0,0,,,,,256.5618833731932,0
412,412,188,188,1,0,0,0,,,,,245.60130292814003,0
404,404,196,196,1,0,0,0,,,,,234.67424230196207,0
396,396,204,204,1,0,0,0,,,,,223.78561169118984,0
388,388,212,212,1,0,0,0,,,,,212.94130646729863,0
380,380,220,220,1,0,0,0,,,,,202.14846029589245,0
372,372,228,228,1,0,0,0,,,,,191.41577782408638,0
364,364,236,236,1,0,0,0,,,,,180.75397644312005,0
356,356,244,244,1,0,0,0,,,,,170.1763790894612,0
348,348,252,252,1,0,0,0,,,,,159.69971822141704,0
340,340,260,260,1,0,0,0,,,,,149.34523762075577,0
332,332,268,268,1,0,0,0,,,,,139.1402170474087,0
324,324,276,276,1,0,0,0,,,,,129.1200991325518,0
316,316,284,284,1,0,0,0,,,,,119.33147112141039,0
308,308,292,292,1,0,0,0,,,,,109.83624174196785,0
300,300,300,300,1,0,0,0,,,,,100.71742649611338,0
292,292,308,308,1,0,0,0,,,,,92.0869154657707,2
292,284,308,316,1,0,0,0,,,,,84.09518416651456,2
292,276,308,324,1,0,0,0,,,,,76.10519036176179,2
292,268,308,332,1,0,0,0,,,,,68.11754546370561,2
292,260,308,340,1,0,0,0,,,,,60.13318551349163,2
292,252,308,348,1,0,0,0,,,,,52.15361924162119,2
292,244,308,356,1,0,0,0,,,,,44.181444068749045,2
292,236,308,364,1,0,0,0,,,,,36.22154055254967,2
292,228,308,372,0,0,1,0,,,,,179.6886195617296,2
300,220,300,380,0,0,1,0,,,,,169.799882214329,2
308,212,292,388,0,0,1,0,,,,,160.099968769516,2
316,204,284,396,0,0,1,0,,,,,150.62536307010186,2
324,196,276,404,0,0,1,0,,,,,141.4213562373095,2
332,188,268,412,0,0,1,0,,,,,132.54433220624713,2
340,180,260,420,0,0,1,0,,,,,124.06449935416659,2
348,180,252,420,0,0,1,0,,,,,116.06894502837527,2
356,180,244,420,0,0,1,0,,,,,108.07404868885037,2
364,180,236,420,0,0,1,0,,,,,100.07996802557443,2
372,180,228,420,0,0,1,0,,,,,92.0869154657707,2
380,180,220,420,0,0,1,0,,,,,84.09518416651456,2
388,180,212,420,0,0,1,0,,,,,76.10519036176179,2
396,180,204,420,0,0,1,0,,,,,68.11754546370561,2
404,180,196,420,0,0,1,0,,,,,60.13318551349163,2
412,180,188,420,0,0,1,0,,,,,52.15361924162119,2
420,180,180,420,0,0,1,0,,,,,44.181444068749045,2
428,180,172,420,0,0,1,0,,,,,36.22154055254967,2
436,180,164,420,0,0,1,0,,,,,230.82460874005614,2
444,188,156,412,0,0,1,0,,,,,221.7746604100658,2
452,196,148,404,0,0,1,0,,,,,212.94130646729863,2
460,204,140,396,0,0,1,0,,,,,204.35263639111682,2
468,212,132,388,0,0,1,0,,,,,196.04081207748553,2
476,220,124,380,1,0,0,0,,,,,188.04254837669055,2
476,228,124,372,1,0,0,0,,,,,180.0444389588304,2
476,236,124,364,1,0,0,0,,,,,172.04650534085255,2
476,244,124,356,1,0,0,0,,,,,164.04877323527901,2
476,252,124,348,1,0,0,0,,,,,156.05127362504928,2
476,260,124,340,1,0,0,0,,,,,148.05404418657398,2
