wu,wr,wd,wl,au,ar,ad,al,bu,br,bd,bl,direction
132,412,468,188,,,,,0.0,1.0,0.0,0.0,2
132,420,468,180,,,,,0.0,1.0,0.0,0.0,2
132,428,468,172,,,,,0.0,1.0,0.0,0.0,2
132,436,468,164,,,,,0.0,1.0,0.0,0.0,2
132,444,468,156,,,,,0.0,1.0,0.0,0.0,2
140,436,460,164,,,,,1.0,0.0,0.0,0.0,2
148,428,452,172,,,,,1.0,0.0,0.0,0.0,2
156,420,444,180,,,,,1.0,0.0,0.0,0.0,2
164,412,436,188,,,,,1.0,0.0,0.0,0.0,2
172,404,428,196,,,,,1.0,0.0,0.0,0.0,2
180,396,420,204,,,,,1.0,0.0,0.0,0.0,2
188,388,412,212,,,,,1.0,0.0,0.0,0.0,2
196,380,404,220,,,,,1.0,0.0,0.0,0.0,2
204,372,396,228,,,,,1.0,0.0,0.0,0.0,2
212,364,388,236,,,,,,,,,2
220,356,380,244,,,,,,,,,2
228,348,372,252,,,,,,,,,2
236,340,364,260,,,,,,,,,2
244,332,356,268,,,,,,,,,2
252,324,348,276,,,,,,,,,2
260,316,340,284,,,,,,,,,2
268,308,332,292,,,,,,,,,2
276,300,324,300,,,,,,,,,2
284,292,316,308,,,,,,,,,2
292,284,308,316,,,,,,,,,2
300,276,300,324,,,,,,,,,2
308,268,292,332,,,,,,,,,2
